,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2017-10-03,5.443326,4.604241241888289,8.539823632981259,5.443326,5.443326,1.0305129097100267,1.0305129097100267,1.0305129097100267,0.8372989878941092,0.8372989878941092,0.8372989878941092,0.19321392181591762,0.19321392181591762,0.19321392181591762,0.0,0.0,0.0,6.473838909710027
1,2017-10-04,5.439518710144927,4.4829400825378825,8.489160634104769,5.439518710144927,5.439518710144927,1.0786370678103676,1.0786370678103676,1.0786370678103676,0.9268258633467452,0.9268258633467452,0.9268258633467452,0.1518112044636224,0.1518112044636224,0.1518112044636224,0.0,0.0,0.0,6.518155777955295
2,2017-10-05,5.435711420289856,4.651397902930898,8.439188471773234,5.435711420289856,5.435711420289856,0.9951532776088818,0.9951532776088818,0.9951532776088818,0.8932126000003084,0.8932126000003084,0.8932126000003084,0.10194067760857332,0.10194067760857332,0.10194067760857332,0.0,0.0,0.0,6.430864697898738
3,2017-10-06,5.431904130434782,4.37312830692557,8.120669821470166,5.431904130434782,5.431904130434782,0.8822245740415218,0.8822245740415218,0.8822245740415218,0.8378235571376018,0.8378235571376018,0.8378235571376018,0.04440101690391985,0.04440101690391985,0.04440101690391985,0.0,0.0,0.0,6.314128704476304
4,2017-10-09,5.420482260869566,4.180705618846718,8.058942186062227,5.420482260869566,5.420482260869566,0.6843843349297662,0.6843843349297662,0.6843843349297662,0.8483996958641146,0.8483996958641146,0.8483996958641146,-0.16401536093434826,-0.16401536093434826,-0.16401536093434826,0.0,0.0,0.0,6.104866595799332
5,2017-10-10,5.416674971014492,4.172645579868412,8.057304275099398,5.416674971014492,5.416674971014492,0.5959278206024006,0.5959278206024006,0.5959278206024006,0.8372989878944876,0.8372989878944876,0.8372989878944876,-0.2413711672920872,-0.2413711672920872,-0.2413711672920872,0.0,0.0,0.0,6.012602791616893
6,2017-10-11,5.412867681159421,4.101551824029713,7.765612326001611,5.412867681159421,5.412867681159421,0.6064408421926634,0.6064408421926634,0.6064408421926634,0.9268258633466908,0.9268258633466908,0.9268258633466908,-0.32038502115402745,-0.32038502115402745,-0.32038502115402745,0.0,0.0,0.0,6.019308523352084
7,2017-10-12,5.409060391304348,4.080934891904219,7.80975926839599,5.409060391304348,5.409060391304348,0.4936382486985888,0.4936382486985888,0.4936382486985888,0.8932126000011441,0.8932126000011441,0.8932126000011441,-0.3995743513025553,-0.3995743513025553,-0.3995743513025553,0.0,0.0,0.0,5.902698640002937
8,2017-10-13,5.405253101449276,3.708429572000746,7.7354559239903065,5.405253101449276,5.405253101449276,0.3604096717161542,0.3604096717161542,0.3604096717161542,0.8378235571399648,0.8378235571399648,0.8378235571399648,-0.4774138854238106,-0.4774138854238106,-0.4774138854238106,0.0,0.0,0.0,5.76566277316543
9,2017-10-16,5.393831231884058,3.71714432021035,7.6392974906445765,5.393831231884058,5.393831231884058,0.1609366455751522,0.1609366455751522,0.1609366455751522,0.8483996958640099,0.8483996958640099,0.8483996958640099,-0.6874630502888578,-0.6874630502888578,-0.6874630502888578,0.0,0.0,0.0,5.55476787745921
