,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2017-10-03,250.304748564288,230.3325489031328,257.95604755629853,250.304748564288,250.304748564288,-5.86063375910346,-5.86063375910346,-5.86063375910346,-0.17113078709555485,-0.17113078709555485,-0.17113078709555485,-5.689502972007905,-5.689502972007905,-5.689502972007905,0.0,0.0,0.0,244.44411480518454
1,2017-10-04,250.42950276809145,229.47305342821466,257.7679318830462,250.42950276809145,250.42950276809145,-5.781674509956978,-5.781674509956978,-5.781674509956978,-0.19612461999173222,-0.19612461999173222,-0.19612461999173222,-5.585549889965245,-5.585549889965245,-5.585549889965245,0.0,0.0,0.0,244.64782825813447
2,2017-10-05,250.55425697189497,230.06394767929035,258.16349073598354,250.55425697189497,250.55425697189497,-5.71969694481222,-5.71969694481222,-5.71969694481222,-0.2572979451227306,-0.2572979451227306,-0.2572979451227306,-5.46239899968949,-5.46239899968949,-5.46239899968949,0.0,0.0,0.0,244.83456002708274
3,2017-10-06,250.67901117569846,231.57886573135755,259.74396129003924,250.67901117569846,250.67901117569846,-5.629482954164505,-5.629482954164505,-5.629482954164505,-0.3087343214366204,-0.3087343214366204,-0.3087343214366204,-5.320748632727884,-5.320748632727884,-5.320748632727884,0.0,0.0,0.0,245.04952822153396
4,2017-10-09,251.05327378710896,232.5098014746275,260.88002834939556,251.05327378710896,251.05327378710896,-5.239835223667771,-5.239835223667771,-5.239835223667771,-0.44638277809961785,-0.44638277809961785,-0.44638277809961785,-4.793452445568153,-4.793452445568153,-4.793452445568153,0.0,0.0,0.0,245.8134385634412
5,2017-10-10,251.17802799091243,232.74537256716482,260.2838914101509,251.17802799091243,251.17802799091243,-4.7581074533244045,-4.7581074533244045,-4.7581074533244045,-0.17113078709543203,-0.17113078709543203,-0.17113078709543203,-4.586976666228972,-4.586976666228972,-4.586976666228972,0.0,0.0,0.0,246.419920537588
6,2017-10-11,251.30278219471595,232.22631756736018,260.0160714247988,251.30278219471595,251.30278219471595,-4.5631996437696305,-4.5631996437696305,-4.5631996437696305,-0.1961246199914038,-0.1961246199914038,-0.1961246199914038,-4.367075023778227,-4.367075023778227,-4.367075023778227,0.0,0.0,0.0,246.73958255094632
7,2017-10-12,251.4275363985194,233.09749742270986,259.230627176852,251.4275363985194,251.4275363985194,-4.392309611406373,-4.392309611406373,-4.392309611406373,-0.25729794512319604,-0.25729794512319604,-0.25729794512319604,-4.135011666283177,-4.135011666283177,-4.135011666283177,0.0,0.0,0.0,247.03522678711303
8,2017-10-13,251.5522906023229,234.10630823178946,261.2531878133403,251.5522906023229,251.5522906023229,-4.200830194292685,-4.200830194292685,-4.200830194292685,-0.3087343214373507,-0.3087343214373507,-0.3087343214373507,-3.892095872855334,-3.892095872855334,-3.892095872855334,0.0,0.0,0.0,247.35146040803022
9,2017-10-16,251.9265532137334,234.10619725203404,262.63826832289686,251.9265532137334,251.9265532137334,-3.557902439125167,-3.557902439125167,-3.557902439125167,-0.4463827780994977,-0.4463827780994977,-0.4463827780994977,-3.1115196610256692,-3.1115196610256692,-3.1115196610256692,0.0,0.0,0.0,248.36865077460823
10,2017-10-17,252.05130741753686,234.97925256589298,263.66017077116214,252.05130741753686,252.05130741753686,-3.0094966712796962,-3.0094966712796962,-3.0094966712796962,-0.17113078709479163,-0.17113078709479163,-0.17113078709479163,-2.8383658841849044,-2.8383658841849044,-2.8383658841849044,0.0,0.0,0.0,249.04181074625717
11,2017-10-18,252.17606162134038,236.301100814765,263.6954806895678,252.17606162134038,252.17606162134038,-2.7568629995524843,-2.7568629995524843,-2.7568629995524843,-0.19612461999156364,-0.19612461999156364,-0.19612461999156364,-2.5607383795609207,-2.5607383795609207,-2.5607383795609207,0.0,0.0,0.0,249.4191986217879
12,2017-10-19,252.30081582514384,236.36523977678854,263.9888123009028,252.30081582514384,252.30081582514384,-2.536994125888287,-2.536994125888287,-2.536994125888287,-0.25729794512208054,-0.25729794512208054,-0.25729794512208054,-2.279696180766207,-2.279696180766207,-2.279696180766207,0.0,0.0,0.0,249.76382169925554
13,2017-10-20,252.4255700289474,237.0001866533118,264.2968737783426,252.4255700289474,252.4255700289474,-2.3049017900836213,-2.3049017900836213,-2.3049017900836213,-0.30873432143808105,-0.30873432143808105,-0.30873432143808105,-1.99616746864554,-1.99616746864554,-1.99616746864554,0.0,0.0,0.0,250.12066823886377
14,2017-10-23,252.79983264035783,236.7913177049272,264.4159148375558,252.79983264035783,252.79983264035783,-1.5839568309252128,-1.5839568309252128,-1.5839568309252128,-0.44638277810014526,-0.44638277810014526,-0.44638277810014526,-1.1375740528250675,-1.1375740528250675,-1.1375740528250675,0.0,0.0,0.0,251.21587580943262
15,2017-10-24,252.9245868441613,239.4002385807442,265.58131816818184,252.9245868441613,252.9245868441613,-1.0212564514309412,-1.0212564514309412,-1.0212564514309412,-0.17113078709555735,-0.17113078709555735,-0.17113078709555735,-0.8501256643353838,-0.8501256643353838,-0.8501256643353838,0.0,0.0,0.0,251.90333039273037
16,2017-10-25,253.04934104796482,238.59930047203423,265.07425158371046,253.04934104796482,253.04934104796482,-0.7584199732827109,-0.7584199732827109,-0.7584199732827109,-0.19612461999153666,-0.19612461999153666,-0.19612461999153666,-0.5622953532911743,-0.5622953532911743,-0.5622953532911743,0.0,0.0,0.0,252.2909210746821
17,2017-10-26,253.1740952517683,240.38039262382335,266.2280828625485,253.1740952517683,253.1740952517683,-0.5312503600428139,-0.5312503600428139,-0.5312503600428139,-0.2572979451233479,-0.2572979451233479,-0.2572979451233479,-0.2739524149194661,-0.2739524149194661,-0.2739524149194661,0.0,0.0,0.0,252.6428448917255
18,2017-10-27,253.29884945557183,238.99160485047994,267.21616030888265,253.29884945557183,253.29884945557183,-0.29352979325876255,-0.29352979325876255,-0.29352979325876255,-0.30873432143839935,-0.30873432143839935,-0.30873432143839935,0.015204528179636821,0.015204528179636821,0.015204528179636821,0.0,0.0,0.0,253.00531966231307
19,2017-10-30,253.67311206698227,240.730965280561,268.4595770335346,253.67311206698227,253.67311206698227,0.446317770807354,0.446317770807354,0.446317770807354,-0.44638277809818894,-0.44638277809818894,-0.44638277809818894,0.892700548905543,0.892700548905543,0.892700548905543,0.0,0.0,0.0,254.11942983778962
20,2017-10-31,253.79786627078573,241.83164423582792,269.003183333436,253.79786627078573,253.79786627078573,1.0196330129323563,1.0196330129323563,1.0196330129323563,-0.1711307870951757,-0.1711307870951757,-0.1711307870951757,1.190763800027532,1.190763800027532,1.190763800027532,0.0,0.0,0.0,254.8174992837181
21,2017-11-01,253.92262047458925,240.34380776460284,268.62364128711727,253.92262047458925,253.92262047458925,1.296726584448053,1.296726584448053,1.296726584448053,-0.19612461999150968,-0.19612461999150968,-0.19612461999150968,1.4928512044395625,1.4928512044395625,1.4928512044395625,0.0,0.0,0.0,255.21934705903732
22,2017-11-02,254.04737467839274,241.1574002535831,269.0968752735795,254.04737467839274,254.04737467839274,1.542402440885562,1.542402440885562,1.542402440885562,-0.25729794512301146,-0.25729794512301146,-0.25729794512301146,1.7997003860085734,1.7997003860085734,1.7997003860085734,0.0,0.0,0.0,255.5897771192783
23,2017-11-03,254.17212888219626,241.68482745085166,269.742240433554,254.17212888219626,254.17212888219626,1.80324762327207,1.80324762327207,1.80324762327207,-0.30873432143798624,-0.30873432143798624,-0.30873432143798624,2.111981944710056,2.111981944710056,2.111981944710056,0.0,0.0,0.0,255.97537650546832
24,2017-11-06,254.5463914936067,242.18813439836174,270.67003628427926,254.5463914936067,254.5463914936067,2.6397900511428123,2.6397900511428123,2.6397900511428123,-0.4463827780988366,-0.4463827780988366,-0.4463827780988366,3.086172829241649,3.086172829241649,3.086172829241649,0.0,0.0,0.0,257.1861815447495
25,2017-11-07,254.67114569741022,243.87012888159566,271.24753199180014,254.67114569741022,254.67114569741022,3.252853899694316,3.252853899694316,3.252853899694316,-0.1711307870950528,-0.1711307870950528,-0.1711307870950528,3.423984686789369,3.423984686789369,3.423984686789369,0.0,0.0,0.0,257.92399959710457
26,2017-11-08,254.7958999012137,244.25730350364614,273.0239391749112,254.7958999012137,254.7958999012137,3.571920793096424,3.571920793096424,3.571920793096424,-0.19612461999148267,-0.19612461999148267,-0.19612461999148267,3.768045413087907,3.768045413087907,3.768045413087907,0.0,0.0,0.0,258.3678206943101
27,2017-11-09,254.92065410501718,244.95907241161666,273.2515120824392,254.92065410501718,254.92065410501718,3.860452738050596,3.860452738050596,3.860452738050596,-0.257297945121896,-0.257297945121896,-0.257297945121896,4.117750683172492,4.117750683172492,4.117750683172492,0.0,0.0,0.0,258.7811068430678
28,2017-11-10,255.0454083088207,245.6000155764564,273.36089302526466,255.0454083088207,255.0454083088207,4.16344640650958,4.16344640650958,4.16344640650958,-0.30873432143830465,-0.30873432143830465,-0.30873432143830465,4.472180727947885,4.472180727947885,4.472180727947885,0.0,0.0,0.0,259.2088547153303
29,2017-11-13,255.41967092023114,247.47852963530687,274.0987402249424,255.41967092023114,255.41967092023114,5.1033785254665025,5.1033785254665025,5.1033785254665025,-0.4463827780987164,-0.4463827780987164,-0.4463827780987164,5.549761303565219,5.549761303565219,5.549761303565219,0.0,0.0,0.0,260.52304944569767
30,2017-11-14,255.54442512403466,247.25330682861915,276.039490779109,255.54442512403466,255.54442512403466,5.736332015501734,5.736332015501734,5.736332015501734,-0.1711307870953012,-0.1711307870953012,-0.1711307870953012,5.907462802597035,5.907462802597035,5.907462802597035,0.0,0.0,0.0,261.2807571395364
31,2017-11-15,255.66917932783812,247.94682714514576,275.12099680615125,255.66917932783812,255.66917932783812,6.064455382536459,6.064455382536459,6.064455382536459,-0.19612461999164252,-0.19612461999164252,-0.19612461999164252,6.260580002528102,6.260580002528102,6.260580002528102,0.0,0.0,0.0,261.7336347103746
32,2017-11-16,255.79393353164164,248.3655050708785,275.93806997612046,255.79393353164164,255.79393353164164,6.349159301017926,6.349159301017926,6.349159301017926,-0.25729794512238424,-0.25729794512238424,-0.25729794512238424,6.606457246140311,6.606457246140311,6.606457246140311,0.0,0.0,0.0,262.1430928326596
33,2017-11-17,255.91868773544513,248.3742143288982,276.67154837528454,255.91868773544513,255.91868773544513,6.633536880157736,6.633536880157736,6.633536880157736,-0.30873432143747936,-0.30873432143747936,-0.30873432143747936,6.942271201595215,6.942271201595215,6.942271201595215,0.0,0.0,0.0,262.5522246156029
34,2017-11-20,256.2929503468556,250.06092265088023,277.7979334797738,256.2929503468556,256.2929503468556,7.413508261220779,7.413508261220779,7.413508261220779,-0.44638277809882976,-0.44638277809882976,-0.44638277809882976,7.85989103931961,7.85989103931961,7.85989103931961,0.0,0.0,0.0,263.7064586080764
